"naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
"101801","pm25_bcgov","pm25_naps_lag_1",0.999333194618787,0.8892922498252,47164
"101803","pm25_bcgov","pm25_naps_lag_1",1,0.744624918407354,28084
"103202","pm25_bcgov","pm25_naps_lag_1",0.96816010915978,0.911436695428618,84559.4
"103203","pm25_bcgov","pm25_naps_lag_1",1,0.804854997680114,14510.6
"103204","pm25_bcgov","pm25_naps_lag_1",1,0.802573194011669,15935.6
"103205","pm25_bcgov","pm25_naps_lag_1",0.932938373345969,0.747463288543598,16987
"105501","pm25_bcgov","pm25_naps_lag_1",1,0.796328344577751,18064.2
"105504","pm25_bcgov","pm25_naps_lag_1",0.999951570998401,0.897407539390057,73324
"106502","pm25_bcgov","pm25_naps_lag_1",1,0.709100530684654,28518
