"","year","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
"1",2009,"no2_bcgov","no2_naps_lag_2",0.908775501725014,0.872025281253152,277770.8
"2",2014,"no2_bcgov","no2_naps_lag_1",0.971806831359231,0.933170650814696,285631
