"year_month","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2018-08-01,"090136","pm25_praries","pm25_naps",1,1,728.4
2018-08-01,"090229","pm25_praries","pm25_naps",1,1,742.2
2018-08-01,"090230","pm25_praries","pm25_naps",1,1,737
2018-08-01,"090235","pm25_praries","pm25_naps",1,1,737
2018-08-01,"090250","pm25_praries","pm25_naps",1,1,721.8
2018-08-01,"090302","pm25_praries","pm25_naps",1,1,735.6
2018-08-01,"090304","pm25_praries","pm25_naps",1,1,739
2018-08-01,"090402","pm25_praries","pm25_naps",1,1,739.8
2018-08-01,"090502","pm25_praries","pm25_naps",1,1,744
2018-08-01,"090601","pm25_praries","pm25_naps",1,1,732.4
2018-08-01,"090607","pm25_praries","pm25_naps",1,1,740.8
2018-08-01,"090608","pm25_praries","pm25_naps",1,1,744
2018-08-01,"090609","pm25_praries","pm25_naps",1,1,722.6
2018-08-01,"090701","pm25_praries","pm25_naps",1,1,740.8
2018-08-01,"090702","pm25_praries","pm25_naps",1,1,740
2018-08-01,"090801","pm25_praries","pm25_naps",1,1,742.2
2018-08-01,"090805","pm25_praries","pm25_naps",1,1,733
2018-08-01,"090806","pm25_praries","pm25_naps",1,1,731.4
2018-08-01,"090807","pm25_praries","pm25_naps",1,1,742.2
2018-08-01,"090808","pm25_praries","pm25_naps",1,1,719.8
2018-08-01,"091101","pm25_praries","pm25_naps",1,1,718.2
2018-08-01,"091301","pm25_praries","pm25_naps",1,1,682.6
2018-08-01,"091801","pm25_praries","pm25_naps",0.999687313837341,0.999687313837341,1454.4
2018-08-01,"091901","pm25_praries","pm25_naps",1,1,742.2
2018-08-01,"092201","pm25_praries","pm25_naps",1,1,740.8
2018-08-01,"092801","pm25_praries","pm25_naps",1,1,700.2
2018-08-01,"092901","pm25_praries","pm25_naps",1,1,704.2
2018-08-01,"093101","pm25_praries","pm25_naps",1,1,718.4
2018-08-01,"093202","pm25_praries","pm25_naps",1,1,744
2018-08-01,"093901","pm25_praries","pm25_naps",1,1,744
2018-08-01,"094301","pm25_praries","pm25_naps",1,1,643
2018-08-01,"094401","pm25_praries","pm25_naps",1,1,738.8
2018-08-01,"094601","pm25_praries","pm25_naps",1,1,737.6
2018-09-01,"060104","pm25_praries","pm25_naps",1,1,720
2018-09-01,"060204","pm25_praries","pm25_naps",1,1,720
2018-09-01,"060211","pm25_praries","pm25_naps",1,1,704.8
2018-09-01,"060304","pm25_praries","pm25_naps",1,1,714
2018-09-01,"060410","pm25_praries","pm25_naps",1,1,685.6
2018-09-01,"060430","pm25_praries","pm25_naps",1,1,684.4
2018-09-01,"060434","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"060440","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"060450","pm25_praries","pm25_naps",1,1,713.8
2018-09-01,"060512","pm25_praries","pm25_naps",1,1,705.2
2018-09-01,"060513","pm25_praries","pm25_naps",1,1,713
2018-09-01,"060515","pm25_praries","pm25_naps",1,1,713.8
2018-09-01,"060610","pm25_praries","pm25_naps",1,1,720
2018-09-01,"060709","pm25_praries","pm25_naps",1,1,715.6
2018-09-01,"060809","pm25_praries","pm25_naps",1,1,720
2018-09-01,"060904","pm25_praries","pm25_naps",1,1,701.8
2018-09-01,"061009","pm25_praries","pm25_naps",1,1,720
2018-09-01,"061104","pm25_praries","pm25_naps",1,1,704.8
2018-09-01,"061201","pm25_praries","pm25_naps",1,1,717.4
2018-09-01,"061302","pm25_praries","pm25_naps",1,1,717.4
2018-09-01,"061402","pm25_praries","pm25_naps",1,1,720
2018-09-01,"061502","pm25_praries","pm25_naps",1,1,712
2018-09-01,"061603","pm25_praries","pm25_naps",1,1,717.4
2018-09-01,"061703","pm25_praries","pm25_naps",0.999740315888163,0.999740315888163,632.4
2018-09-01,"061802","pm25_praries","pm25_naps",1,1,715.8
2018-09-01,"062001","pm25_praries","pm25_naps",1,1,684.6
2018-09-01,"062501","pm25_praries","pm25_naps",1,1,708.2
2018-09-01,"063001","pm25_praries","pm25_naps",1,1,696
2018-09-01,"063301","pm25_praries","pm25_naps",1,1,709
2018-09-01,"063701","pm25_praries","pm25_naps",1,1,703.4
2018-09-01,"065001","pm25_praries","pm25_naps",1,1,662.4
2018-09-01,"065101","pm25_praries","pm25_naps",1,1,715.8
2018-09-01,"065201","pm25_praries","pm25_naps",1,1,630.2
2018-09-01,"065301","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"065401","pm25_praries","pm25_naps",1,1,704.8
2018-09-01,"065801","pm25_praries","pm25_naps",1,1,711.8
2018-09-01,"066201","pm25_praries","pm25_naps",1,1,653.4
2018-09-01,"070118","pm25_praries_lag_1","pm25_naps",1,0.837708137668356,718.2
2018-09-01,"080211","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"080402","pm25_praries","pm25_naps",0.998895518729277,0.998895518729277,718.2
2018-09-01,"080502","pm25_praries","pm25_naps",1,1,720
2018-09-01,"081001","pm25_praries","pm25_naps",1,1,682
2018-09-01,"082002","pm25_praries","pm25_naps",1,1,720
2018-09-01,"090120","pm25_praries","pm25_naps",1,1,716.4
2018-09-01,"090121","pm25_praries","pm25_naps",1,1,708.8
2018-09-01,"090130","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"090132","pm25_praries","pm25_naps",0.862844855227475,0.862844855227475,2793.4
2018-09-01,"090135","pm25_praries","pm25_naps",1,1,702.8
2018-09-01,"090136","pm25_praries","pm25_naps",1,1,704
2018-09-01,"090229","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"090230","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"090235","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"090250","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"090302","pm25_praries","pm25_naps",1,1,716.8
2018-09-01,"090304","pm25_praries","pm25_naps",1,1,700.8
2018-09-01,"090402","pm25_praries","pm25_naps",1,1,720
2018-09-01,"090502","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"090601","pm25_praries","pm25_naps",1,1,690.6
2018-09-01,"090607","pm25_praries","pm25_naps",1,1,716.4
2018-09-01,"090608","pm25_praries","pm25_naps",1,1,720
2018-09-01,"090609","pm25_praries","pm25_naps",1,1,715.8
2018-09-01,"090701","pm25_praries","pm25_naps",1,1,703
2018-09-01,"090702","pm25_praries","pm25_naps",1,1,678.6
2018-09-01,"090801","pm25_praries","pm25_naps",1,1,720
2018-09-01,"090805","pm25_praries","pm25_naps",1,1,8
2018-09-01,"090806","pm25_praries","pm25_naps",1,1,590.8
2018-09-01,"090807","pm25_praries","pm25_naps",1,1,671.6
2018-09-01,"090808","pm25_praries","pm25_naps",1,1,643.4
2018-09-01,"091101","pm25_praries","pm25_naps",1,1,681
2018-09-01,"091301","pm25_praries","pm25_naps",1,1,693.8
2018-09-01,"091501","pm25_praries","pm25_naps",1,1,710.8
2018-09-01,"091801","pm25_praries","pm25_naps",0.969852836562631,0.969852836562631,1094.4
2018-09-01,"091901","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"092001","pm25_praries","pm25_naps",1,1,710.8
2018-09-01,"092201","pm25_praries","pm25_naps",1,1,674.6
2018-09-01,"092801","pm25_praries","pm25_naps",1,1,669
2018-09-01,"092901","pm25_praries","pm25_naps",1,1,698.8
2018-09-01,"093001","pm25_praries","pm25_naps",1,1,706.6
2018-09-01,"093101","pm25_praries","pm25_naps",1,1,653.6
2018-09-01,"093202","pm25_praries","pm25_naps",1,1,720
2018-09-01,"093901","pm25_praries","pm25_naps",1,1,720
2018-09-01,"094001","pm25_praries","pm25_naps",1,1,710.8
2018-09-01,"094301","pm25_praries","pm25_naps",1,1,425.6
2018-09-01,"094401","pm25_praries","pm25_naps",1,1,718.2
2018-09-01,"094601","pm25_praries","pm25_naps",1,1,694.6
2018-10-01,"060104","pm25_praries","pm25_naps",1,1,730.2
2018-10-01,"060204","pm25_praries","pm25_naps",1,1,737.8
2018-10-01,"060211","pm25_praries","pm25_naps",1,1,744
2018-10-01,"060304","pm25_praries","pm25_naps",1,1,684.8
2018-10-01,"060410","pm25_praries","pm25_naps",1,1,744
2018-10-01,"060430","pm25_praries","pm25_naps",1,1,731.8
2018-10-01,"060434","pm25_praries","pm25_naps",1,1,739.8
2018-10-01,"060440","pm25_praries","pm25_naps",1,1,712.8
2018-10-01,"060450","pm25_praries","pm25_naps",1,1,744
2018-10-01,"060512","pm25_praries","pm25_naps",1,1,734.4
2018-10-01,"060513","pm25_praries","pm25_naps",1,1,739.2
2018-10-01,"060515","pm25_praries","pm25_naps",1,1,742.4
2018-10-01,"060610","pm25_praries","pm25_naps",1,1,739.8
2018-10-01,"060709","pm25_praries","pm25_naps",1,1,734.8
2018-10-01,"060809","pm25_praries","pm25_naps",1,1,632.6
2018-10-01,"060904","pm25_praries","pm25_naps",1,1,738.8
2018-10-01,"061009","pm25_praries","pm25_naps",1,1,744
2018-10-01,"061104","pm25_praries","pm25_naps",1,1,736
2018-10-01,"061201","pm25_praries","pm25_naps",1,1,744
2018-10-01,"061302","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"061402","pm25_praries","pm25_naps",1,1,740.4
2018-10-01,"061502","pm25_praries","pm25_naps",1,1,744
2018-10-01,"061603","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"061703","pm25_praries","pm25_naps",0.999876166274849,0.999876166274849,683.4
2018-10-01,"061802","pm25_praries","pm25_naps",1,1,600.2
2018-10-01,"062001","pm25_praries","pm25_naps",1,1,727
2018-10-01,"062501","pm25_praries","pm25_naps",1,1,744
2018-10-01,"063001","pm25_praries","pm25_naps",1,1,744
2018-10-01,"063301","pm25_praries","pm25_naps",1,1,626.8
2018-10-01,"063701","pm25_praries","pm25_naps",1,1,724.8
2018-10-01,"065001","pm25_praries","pm25_naps",1,1,728
2018-10-01,"065101","pm25_praries","pm25_naps",1,1,732
2018-10-01,"065201","pm25_praries","pm25_naps",1,1,695
2018-10-01,"065301","pm25_praries","pm25_naps",1,1,724.8
2018-10-01,"065401","pm25_praries","pm25_naps",1,1,735.2
2018-10-01,"065801","pm25_praries","pm25_naps",1,1,731
2018-10-01,"066201","pm25_praries","pm25_naps",1,1,707
2018-10-01,"070118","pm25_praries_lag_1","pm25_naps",1,0.902539028400405,744
2018-10-01,"080211","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"080402","pm25_praries","pm25_naps",0.999314770478667,0.999314770478667,739.4
2018-10-01,"080502","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"081001","pm25_praries","pm25_naps",1,1,460.6
2018-10-01,"082002","pm25_praries","pm25_naps",1,1,734.8
2018-10-01,"090120","pm25_praries","pm25_naps",1,1,740.4
2018-10-01,"090121","pm25_praries","pm25_naps",1,1,740.4
2018-10-01,"090130","pm25_praries","pm25_naps",1,1,740.4
2018-10-01,"090132","pm25_praries","pm25_naps",0.616552283215144,0.616552283215144,3064
2018-10-01,"090135","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"090136","pm25_praries","pm25_naps",1,1,739
2018-10-01,"090229","pm25_praries","pm25_naps",1,1,717.6
2018-10-01,"090230","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"090235","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"090250","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"090302","pm25_praries","pm25_naps",1,1,719.6
2018-10-01,"090304","pm25_praries","pm25_naps",1,1,715.2
2018-10-01,"090402","pm25_praries","pm25_naps",1,1,729.6
2018-10-01,"090502","pm25_praries","pm25_naps",1,1,397.8
2018-10-01,"090601","pm25_praries","pm25_naps",1,1,736.8
2018-10-01,"090607","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"090608","pm25_praries","pm25_naps",1,1,744
2018-10-01,"090609","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"090701","pm25_praries","pm25_naps",1,1,710
2018-10-01,"090702","pm25_praries","pm25_naps",1,1,712.4
2018-10-01,"090801","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"090806","pm25_praries","pm25_naps",1,1,586.2
2018-10-01,"090807","pm25_praries","pm25_naps",1,1,705.6
2018-10-01,"090808","pm25_praries","pm25_naps",1,1,722.4
2018-10-01,"091101","pm25_praries","pm25_naps",1,1,704.6
2018-10-01,"091301",NA,NA,NA,NA,8
2018-10-01,"091501","pm25_praries","pm25_naps",1,1,8
2018-10-01,"091701","pm25_praries","pm25_naps",1,1,192.8
2018-10-01,"091801","pm25_praries","pm25_naps",0.980070166091113,0.980070166091113,1177
2018-10-01,"091901","pm25_praries","pm25_naps",1,1,740.8
2018-10-01,"092001","pm25_praries","pm25_naps",1,1,8
2018-10-01,"092201","pm25_praries","pm25_naps",1,1,742.2
2018-10-01,"092801","pm25_praries","pm25_naps",1,1,698
2018-10-01,"092901","pm25_praries","pm25_naps",1,1,727.8
2018-10-01,"093001","pm25_praries","pm25_naps",1,1,8
2018-10-01,"093101","pm25_praries","pm25_naps",1,1,713
2018-10-01,"093202","pm25_praries","pm25_naps",1,1,744
2018-10-01,"093901","pm25_praries","pm25_naps",1,1,744
2018-10-01,"094001","pm25_praries","pm25_naps",1,1,8
2018-10-01,"094301","pm25_praries","pm25_naps",1,1,740.4
2018-10-01,"094401","pm25_praries","pm25_naps",1,1,732.2
2018-10-01,"094601","pm25_praries","pm25_naps",1,1,727.4
2018-11-01,"060104","pm25_praries","pm25_naps",1,1,720
2018-11-01,"060204","pm25_praries","pm25_naps",1,1,720
2018-11-01,"060211","pm25_praries","pm25_naps",1,1,670.6
2018-11-01,"060304","pm25_praries","pm25_naps",1,1,714.8
2018-11-01,"060410","pm25_praries","pm25_naps",1,1,701.8
2018-11-01,"060430","pm25_praries","pm25_naps",1,1,711.8
2018-11-01,"060434","pm25_praries","pm25_naps",1,1,715.8
2018-11-01,"060440","pm25_praries","pm25_naps",1,1,720
2018-11-01,"060450","pm25_praries","pm25_naps",1,1,715.8
2018-11-01,"060512","pm25_praries","pm25_naps",1,1,720
2018-11-01,"060513","pm25_praries","pm25_naps",1,1,717.4
2018-11-01,"060515","pm25_praries","pm25_naps",1,1,720
